disease,N_positives,N_total,Prevalence,Covariates (age/sex/BMI)_mean,Covariates (age/sex/BMI)_SE,Covariates (age/sex/BMI)_N,Covariates (age/sex/BMI)_PR_mean,Covariates (age/sex/BMI)_PR_SE,DXA-FM + Covariates_mean,DXA-FM + Covariates_SE,DXA-FM + Covariates_N,DXA-FM + Covariates_PR_mean,DXA-FM + Covariates_PR_SE,DINOv3 + Covariates_mean,DINOv3 + Covariates_SE,DINOv3 + Covariates_N,DINOv3 + Covariates_PR_mean,DINOv3 + Covariates_PR_SE,DXA Tabular + Covariates_mean,DXA Tabular + Covariates_SE,DXA Tabular + Covariates_N,DXA Tabular + Covariates_PR_mean,DXA Tabular + Covariates_PR_SE,P_LeJEPAcov_vs_Cov_raw,P_LeJEPAcov_vs_Cov_adj,P_DINOcov_vs_Cov_raw,P_DINOcov_vs_Cov_adj,P_Tabcov_vs_Cov_raw,P_Tabcov_vs_Cov_adj,P_LeJEPAcov_vs_Tabcov_raw,P_LeJEPAcov_vs_Tabcov_adj,P_LeJEPAcov_vs_DINOcov_raw,P_LeJEPAcov_vs_DINOcov_adj
dis__gallstone,1278,25945,0.04926,0.6716,0.0046,10,0.0962,0.0018,0.6833,0.0051,10,0.1049,0.0036,0.6785,0.0048,10,0.099,0.0031,0.6824,0.0052,10,0.1054,0.0028,0.02734375,0.03304,0.10546875,0.15293,0.001953125,0.00354,0.6953125,0.746817,0.013671875,0.02832
dis__gout,826,25945,0.03184,0.7966,0.0051,10,0.1054,0.0041,0.8157,0.0052,10,0.1161,0.0047,0.8129,0.0046,10,0.1115,0.0031,0.8098,0.0053,10,0.1158,0.0041,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.001953125,0.008092,0.083984375,0.115978
dis__heart_failure,183,25945,0.00705,0.7756,0.0114,10,0.0399,0.0041,0.7826,0.0102,10,0.0402,0.0039,0.7895,0.0097,10,0.0394,0.0046,0.7856,0.0122,10,0.0421,0.002,0.013671875,0.019824,0.01953125,0.03776,0.001953125,0.00354,0.845703125,0.875907,0.10546875,0.139027
dis__hyperlipidemia,6044,25945,0.23295,0.7099,0.002,10,0.3948,0.0032,0.7361,0.0022,10,0.4346,0.0033,0.732,0.0024,10,0.4271,0.0025,0.7348,0.0022,10,0.432,0.0026,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.232421875,0.374457,0.001953125,0.016183
dis__hypertension,7864,25945,0.3031,0.7194,0.002,10,0.5138,0.0028,0.7429,0.0015,10,0.5477,0.0027,0.7386,0.0019,10,0.5453,0.0034,0.741,0.0017,10,0.5476,0.0026,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.064453125,0.155762,0.00390625,0.016183
dis__hyperthyroidism,370,25945,0.01426,0.6544,0.0067,10,0.0254,0.0007,0.6654,0.0061,10,0.0255,0.0008,0.644,0.0085,10,0.0234,0.001,0.6516,0.0116,10,0.0252,0.0015,0.01953125,0.024626,0.083984375,0.128187,1.0,1.0,0.193359375,0.350464,0.02734375,0.052865
dis__hypothyroidism,1682,25945,0.06483,0.6851,0.0038,10,0.122,0.0015,0.6795,0.0039,10,0.1173,0.002,0.6741,0.0033,10,0.114,0.0016,0.6851,0.0034,10,0.1226,0.0014,0.001953125,0.00354,0.001953125,0.004046,0.921875,0.954799,0.00390625,0.012587,0.013671875,0.02832
dis__ibs,1930,25945,0.07439,0.592,0.0036,10,0.0993,0.0015,0.5986,0.0034,10,0.1013,0.0016,0.5854,0.0038,10,0.0966,0.002,0.5995,0.0046,10,0.1021,0.002,0.01953125,0.024626,0.037109375,0.063304,0.013671875,0.020868,1.0,1.0,0.001953125,0.016183
dis__ischemic_heart_disease,1652,25945,0.06367,0.7334,0.0035,10,0.1433,0.0034,0.7421,0.0036,10,0.1538,0.0035,0.7341,0.0042,10,0.1574,0.0035,0.7414,0.0036,10,0.1532,0.0042,0.001953125,0.00354,0.6953125,0.746817,0.001953125,0.00354,0.431640625,0.596075,0.00390625,0.016183
dis__kidney_stones,604,25945,0.02328,0.6301,0.0083,10,0.0366,0.0011,0.6549,0.0046,10,0.0426,0.001,0.6327,0.0082,10,0.0458,0.0032,0.6533,0.0085,10,0.0424,0.0016,0.001953125,0.00354,0.845703125,0.845703,0.001953125,0.00354,0.6953125,0.746817,0.005859375,0.01888
dis__liver_disease,337,25945,0.01299,0.6834,0.0122,10,0.0288,0.0016,0.6926,0.0122,10,0.0354,0.0039,0.6793,0.0111,10,0.0305,0.0026,0.6863,0.0085,10,0.0291,0.0018,0.232421875,0.249638,0.625,0.725,0.431640625,0.481445,0.193359375,0.350464,0.130859375,0.164997
dis__osteoarthritis,4328,25945,0.16681,0.6475,0.0037,10,0.263,0.0027,0.6929,0.005,10,0.3625,0.0069,0.6964,0.0039,10,0.3979,0.0056,0.6746,0.0044,10,0.3195,0.0058,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.001953125,0.008092,0.275390625,0.332764
dis__osteoporosis,926,25945,0.03569,0.7856,0.0045,10,0.1262,0.0028,0.8366,0.0037,10,0.1854,0.0044,0.8296,0.0053,10,0.1646,0.0061,0.8461,0.0035,10,0.1799,0.0045,0.001953125,0.00354,0.001953125,0.004046,0.001953125,0.00354,0.001953125,0.008092,0.005859375,0.01888
dis__pcos,170,25945,0.00655,0.8253,0.0074,10,0.0577,0.0075,0.8309,0.0067,10,0.043,0.0044,0.8208,0.0063,10,0.0321,0.0041,0.8271,0.0058,10,0.0537,0.0045,0.130859375,0.151797,0.4921875,0.594727,0.375,0.435,0.375,0.54375,0.064453125,0.093457
dis__psoriasis,889,25945,0.03426,0.5457,0.0058,10,0.0411,0.0012,0.5499,0.0089,10,0.0441,0.0018,0.5449,0.0064,10,0.0414,0.0016,0.5503,0.0066,10,0.0404,0.0008,0.431640625,0.447056,0.845703125,0.845703,0.275390625,0.332764,0.625,0.725,0.4921875,0.509766
dis__renal_failure,699,25945,0.02694,0.6871,0.0046,10,0.0616,0.0015,0.6993,0.0034,10,0.0684,0.0025,0.6892,0.005,10,0.0632,0.0023,0.6978,0.0036,10,0.064,0.0016,0.01953125,0.024626,0.6953125,0.746817,0.037109375,0.051246,0.556640625,0.672607,0.009765625,0.02832
dis__rheumatoid_arthritis,392,25945,0.01511,0.5935,0.0099,10,0.0225,0.0011,0.6042,0.0077,10,0.0255,0.0016,0.5804,0.0051,10,0.0238,0.0014,0.5969,0.0108,10,0.0237,0.0013,0.193359375,0.21567,0.232421875,0.293054,0.625,0.671296,0.375,0.54375,0.013671875,0.02832
dis__sleep_disorders,779,25945,0.03003,0.6194,0.0084,10,0.0705,0.0029,0.6437,0.0072,10,0.0791,0.0045,0.6289,0.0055,10,0.0795,0.0042,0.6292,0.0064,10,0.0855,0.0057,0.00390625,0.006293,0.130859375,0.172496,0.064453125,0.084961,0.01953125,0.051491,0.013671875,0.02832
dis__stroke,400,25945,0.01542,0.6888,0.0077,10,0.0385,0.0025,0.6883,0.0085,10,0.0348,0.0014,0.6776,0.0075,10,0.0392,0.0021,0.6918,0.0081,10,0.0386,0.0026,0.921875,0.921875,0.083984375,0.128187,0.10546875,0.132982,0.232421875,0.374457,0.064453125,0.093457
