target,metric,model,mode,fusion,view,n,mean,std,se
dis__migraine,auc,dino,ridge,early,fusion,10,0.6328063607215881,0.027514753863215446,0.008700929146667782
dis__migraine,auc,lejepa,ridge,early,fusion,10,0.6596207022666931,0.021635880693793297,0.006841866217605087
dis__migraine,auc,tabular,ridge,early,tabular,10,0.6419121026992798,0.02777356095612049,0.008782771135486455
dis__obesity,auc,covariates,ridge,early,fusion,10,0.9001607894897461,0.012124762870371342,0.0038341866759814326
dis__obesity,auc,dino,ridge,early,fusion,10,0.8951308131217957,0.01658911257982254,0.005245938011319105
dis__obesity,auc,lejepa,ridge,early,fusion,10,0.8991143107414246,0.017339609563350677,0.0054832659958225834
dis__obesity,auc,tabular,ridge,early,tabular,10,0.8868311047554016,0.016748394817113876,0.005296307477383908
dis__oral_aphthae,auc,covariates,ridge,early,fusion,10,0.5407983064651489,0.04402885213494301,0.013923145550918711
dis__oral_aphthae,auc,dino,ridge,early,fusion,10,0.5270403027534485,0.03515998274087906,0.011118562795338762
dis__oral_aphthae,auc,lejepa,ridge,early,fusion,10,0.519106388092041,0.01967526786029339,0.006221866001243468
dis__oral_aphthae,auc,tabular,ridge,early,tabular,10,0.5635799169540405,0.03141820430755615,0.009935308560439076
dis__osteoarthritis,auc,covariates,ridge,early,fusion,10,0.7382732629776001,0.021755477413535118,0.006879686021111986
dis__osteoarthritis,auc,dino,ridge,early,fusion,10,0.6866634488105774,0.016948454082012177,0.005359571771793668
dis__osteoarthritis,auc,lejepa,ridge,early,fusion,10,0.7527925372123718,0.021867642179131508,0.0069151556343623344
dis__osteoarthritis,auc,tabular,ridge,early,tabular,10,0.6369245648384094,0.0392131432890892,0.012400284700806839
dis__osteopenia,auc,covariates,ridge,early,fusion,10,0.8358645439147949,0.020856909453868866,0.006595533882612419
dis__osteopenia,auc,dino,ridge,early,fusion,10,0.8314152956008911,0.0311970766633749,0.009865381859515073
dis__osteopenia,auc,lejepa,ridge,early,fusion,10,0.8887723684310913,0.01839340105652809,0.005816504125557624
dis__osteopenia,auc,tabular,ridge,early,tabular,10,0.8801199793815613,0.020717624574899673,0.006551488136496065
dis__osteoporosis,auc,covariates,ridge,early,fusion,10,0.8520373106002808,0.027553150430321693,0.008713071207306505
dis__osteoporosis,auc,dino,ridge,early,fusion,10,0.8414947390556335,0.03262937813997269,0.010318315355722208
dis__osteoporosis,auc,lejepa,ridge,early,fusion,10,0.9049823880195618,0.027457183226943016,0.008682723712971182
dis__osteoporosis,auc,tabular,ridge,early,tabular,10,0.9273263216018677,0.010200402699410915,0.003225650558106837
dis__peptic_dis,auc,covariates,ridge,early,fusion,10,0.5941680669784546,0.035066112875938416,0.01108887853765228
dis__peptic_dis,auc,dino,ridge,early,fusion,10,0.5871597528457642,0.06295828521251678,0.019909157885005104
dis__peptic_dis,auc,lejepa,ridge,early,fusion,10,0.5772255659103394,0.04574965313076973,0.014467310605588547
dis__peptic_dis,auc,tabular,ridge,early,tabular,10,0.5387736558914185,0.03684397041797638,0.011651086456467133
dis__peptic_ulcer_disease,auc,covariates,ridge,early,fusion,10,0.552996039390564,0.012886201962828636,0.0040749748591470914
dis__peptic_ulcer_disease,auc,dino,ridge,early,fusion,10,0.5484445095062256,0.009617486037313938,0.003041316124277918
dis__peptic_ulcer_disease,auc,lejepa,ridge,early,fusion,10,0.566274881362915,0.013549498282372952,0.004284727572483781
dis__peptic_ulcer_disease,auc,tabular,ridge,early,tabular,10,0.546197772026062,0.01633942313492298,0.005166979275960533
dis__polycystic_ovary_disease,auc,covariates,ridge,early,fusion,10,0.6195618510246277,0.0396466962993145,0.012537386200680258
dis__polycystic_ovary_disease,auc,dino,ridge,early,fusion,10,0.5525201559066772,0.04042874276638031,0.012784691007881842
dis__polycystic_ovary_disease,auc,lejepa,ridge,early,fusion,10,0.6124855875968933,0.05073976516723633,0.01604532258705411
dis__polycystic_ovary_disease,auc,tabular,ridge,early,tabular,10,0.5857248306274414,0.051817405968904495,0.01638610253033423
dis__prediabetes,auc,covariates,ridge,early,fusion,10,0.6763061881065369,0.02642281912267208,0.008355629063029578
dis__prediabetes,auc,dino,ridge,early,fusion,10,0.7006834745407104,0.025893786922097206,0.008188334392090813
dis__prediabetes,auc,lejepa,ridge,early,fusion,10,0.7189396619796753,0.02072383649647236,0.006553452518577667
dis__prediabetes,auc,tabular,ridge,early,tabular,10,0.6765044331550598,0.02695986069738865,0.008525456520460363
dis__psoriasis,auc,covariates,ridge,early,fusion,10,0.564297080039978,0.03633823245763779,0.011491158071079347
dis__psoriasis,auc,dino,ridge,early,fusion,10,0.5199017524719238,0.03837616741657257,0.01213560969043091
dis__psoriasis,auc,lejepa,ridge,early,fusion,10,0.5205869674682617,0.026883363723754883,0.008501266053381107
dis__psoriasis,auc,tabular,ridge,early,tabular,10,0.5215482115745544,0.03015889972448349,0.009537081485399243
dis__sleep_apnea,auc,covariates,ridge,early,fusion,10,0.7537731528282166,0.021236218512058258,0.0067154819387136005
dis__sleep_apnea,auc,dino,ridge,early,fusion,10,0.7625958323478699,0.03064928762614727,0.009692155756024064
dis__sleep_apnea,auc,lejepa,ridge,early,fusion,10,0.7673342823982239,0.020871121436357498,0.006600028106085469
dis__sleep_apnea,auc,tabular,ridge,early,tabular,10,0.7307493686676025,0.016286635771393776,0.005150286445917774
dis__urinary_tract_infection,auc,covariates,ridge,early,fusion,10,0.7596790194511414,0.017151283100247383,0.005423711939113575
dis__urinary_tract_infection,auc,dino,ridge,early,fusion,10,0.7674656510353088,0.010242695920169353,0.0032390248488249345
dis__urinary_tract_infection,auc,lejepa,ridge,early,fusion,10,0.7730683088302612,0.013017361052334309,0.004116451005014273
dis__urinary_tract_infection,auc,tabular,ridge,early,tabular,10,0.7581069469451904,0.00910494290292263,0.0028792357539020865
dis__urinary_tract_stones,auc,covariates,ridge,early,fusion,10,0.7156112194061279,0.02823661081492901,0.008929200357891886
dis__urinary_tract_stones,auc,dino,ridge,early,fusion,10,0.7135488390922546,0.028197376057505608,0.008916793238201671
dis__urinary_tract_stones,auc,lejepa,ridge,early,fusion,10,0.7294080257415771,0.029174497351050377,0.009225786121986816
dis__urinary_tract_stones,auc,tabular,ridge,early,tabular,10,0.6816273927688599,0.032135285437107086,0.010162069524089799
age,pearson,covariates,ridge,early,fusion,10,0.13931572437286377,0.017244994640350342,0.005453346130090332
age,pearson,dino,ridge,early,fusion,10,0.8396159410476685,0.008804291486740112,0.0027841614282128903
age,pearson,lejepa,ridge,early,fusion,10,0.8958609700202942,0.005533934570848942,0.0017499837666229096
age,pearson,tabular,ridge,early,tabular,10,0.7546626329421997,0.015945877879858017,0.005042529339124812
gender,auc,covariates,ridge,early,fusion,10,0.5857748985290527,0.008188920095562935,0.002589563907910258
gender,auc,dino,ridge,early,fusion,10,0.9997074007987976,0.0005051796906627715,0.00015975184501536546
gender,auc,lejepa,ridge,early,fusion,10,0.9998919367790222,0.00016243082063738257,5.136513554244118e-05
gender,auc,tabular,ridge,early,tabular,10,0.9996758699417114,0.0004004347138106823,0.0001266285749839439
bmi,pearson,covariates,ridge,early,fusion,10,0.18355795741081238,0.026219112798571587,0.008291211467235776
bmi,pearson,dino,ridge,early,fusion,10,0.9753584861755371,0.002124549588188529,0.0006718415700648515
bmi,pearson,lejepa,ridge,early,fusion,10,0.9718383550643921,0.002332193311303854,0.0007375042807530296
bmi,pearson,tabular,ridge,early,tabular,10,0.9731218218803406,0.005394700914621353,0.0017059542185597026
