system,feature,feature_type,n_clusterA,n_clusterB,mean_clusterA,mean_clusterB,effect_size,effect_ci_low,effect_ci_high,p_value,fdr_q_value,significant_at_q05
body_composition,waist,continuous,1378,1446,0.1562735306834309,-0.1489245679680263,-0.336357787551877,-0.336357787551877,-0.2690864011219191,1.3927217258045668e-17,3.0175637392432284e-17,True
body_composition,body_comp_arms_tissue_mass,continuous,1304,1374,0.1485989551025416,-0.1410284115383648,-0.2984473587427122,-0.3326518090656482,-0.2640705806242425,3.20293823668955e-17,6.813523158048677e-17,True
body_composition,body_comp_trunk_right_lean_mass,continuous,1304,1374,-0.1667288836963777,0.1582346902038409,0.3255299716629635,0.2878975711024576,0.3624979990937167,4.001121725817165e-17,8.359486462868002e-17,True
body_composition,body_comp_trunk_right_fat_free_mass,continuous,1304,1374,-0.1626517840091715,0.1543653030188942,0.3169939820679067,0.2798142904602368,0.3541597604943391,2.0689919844369807e-16,4.2468782838443293e-16,True
body_composition,body_comp_arms_total_mass,continuous,1304,1374,0.1438667427720086,-0.1365372871722708,-0.2862808237790957,-0.3295434975371845,-0.2598734185704057,3.0497025316429016e-16,6.151986141417579e-16,True
body_composition,body_comp_arm_left_lean_mass,continuous,1304,1374,-0.1535978488359584,0.1457726309185525,0.2858927087135354,0.2510487262957805,0.3209133266153587,1.4027774713477877e-15,2.781779053350698e-15,True
body_composition,body_comp_arm_left_fat_free_mass,continuous,1304,1374,-0.1512184124077244,0.1435144175980167,0.2822272622594737,0.2467861882704171,0.3170548836454363,3.978979426434983e-15,7.759009881548217e-15,True
body_composition,body_comp_total_left_lean_mass,continuous,1304,1374,-0.1563198201300284,0.1483559282747872,0.300596722501727,0.2636238931231853,0.3376846113015507,4.250452823037908e-15,8.152507873695659e-15,True
body_composition,body_comp_total_lean_mass,continuous,1304,1374,-0.1560360834985261,0.1480866469301874,0.2965499403539609,0.2596017922780368,0.3341349085835481,7.832355921476637e-15,1.47804135937543e-14,True
body_composition,body_comp_total_left_fat_free_mass,continuous,1304,1374,-0.1522304082004561,0.1444748561087306,0.2929054388736352,0.2554250451481022,0.3301790961242256,1.8627778976574133e-14,3.4594446670780534e-14,True
