system,feature,feature_type,n_clusterA,n_clusterB,mean_clusterA,mean_clusterB,effect_size,effect_ci_low,effect_ci_high,p_value,fdr_q_value,significant_at_q05
body_composition,body_comp_leg_right_bone_mass,continuous,1304,1374,-0.0456401311110551,0.043314942480943,0.0947340741226534,0.056651075967481,0.1333444674410659,0.0127476824339554,0.0169665165360143,True
body_composition,body_comp_legs_bone_mass,continuous,1304,1374,-0.0464191575529347,0.0440542805305871,0.0954126418549901,0.0583518183167164,0.132213640696799,0.0123960872933824,0.0169665165360143,True
body_composition,body_comp_arms_diff_fat_free_mass,continuous,1304,1374,-0.0051868242006603,0.0049225755150371,0.0093024034477847,0.0053827044128953,0.0129100431671574,0.0125672957527953,0.0169665165360143,True
body_composition,body_comp_leg_left_bone_mass,continuous,1304,1374,-0.0466248529476779,0.0442494965384078,0.0948016385312232,0.0570511365933481,0.1329195770201254,0.0127611406424722,0.0169665165360143,True
body_composition,body_comp_total_diff_fat_mass,continuous,1304,1374,0.0299248855364795,-0.0284003280491771,-0.0251946734281891,-0.0354514746804126,-0.0152216820665686,0.0134844110195325,0.0177266976324192,True
body_composition,body_comp_arms_diff_lean_mass,continuous,1304,1374,-0.0154493653667299,0.0146622797949169,0.0084133151643339,0.0049784811155865,0.0117786412300674,0.0142469072697096,0.0185209794506224,True
body_composition,body_comp_total_diff_tissue_mass,continuous,1304,1374,0.0291826371241834,-0.0276958943303746,-0.0609860590543746,-0.0860603606469723,-0.0360622848584993,0.0157866112496063,0.0202970716066366,True
body_composition,body_comp_android_bone_mass,continuous,1304,1374,-0.0622727888900228,0.0591002305040675,0.0985305743949441,0.0534924974302187,0.116634237212835,0.0168523930782701,0.0214318477191044,True
body_composition,body_comp_legs_diff_total_mass,continuous,1304,1374,0.0290814067447594,-0.0275998212483014,-0.0220011186872478,-0.0392750827498166,-0.0035537713840858,0.0202802714905792,0.025513889939761,True
body_composition,body_comp_total_diff_total_mass,continuous,1304,1374,0.0272063585935392,-0.0258202995676677,-0.056953696058953,-0.0884374313156523,-0.024567978095718,0.0244256855910821,0.0304021831293255,True
body_composition,body_comp_total_left_bone_mass,continuous,1304,1374,-0.0436796005011324,0.0414542933431423,0.085121168086545,0.0470326262541986,0.1226572122376745,0.0269606814839536,0.0330416397870721,True
body_composition,body_comp_arm_left_bone_mass,continuous,1304,1374,0.0171285247687557,-0.0162558925025163,7.903406196335672e-05,4.533503523612703e-05,0.000110573332508,0.0271110890560592,0.0330416397870721,True
body_composition,body_comp_total_bone_mass,continuous,1304,1374,-0.0394218343342637,0.0374134439387767,0.078422573032833,0.0411374486030719,0.1165273185755899,0.0407111139160717,0.0491051580224783,True
body_composition,body_comp_arms_diff_bone_mass,continuous,1304,1374,-0.0423113248522727,0.040155726060672,0.0021286032398553,0.0003219124791846,0.0041848622294009,0.0421658844972772,0.0503409029202187,False
body_composition,body_comp_total_right_bone_mass,continuous,1304,1374,-0.0314581594571407,0.0298554875779563,0.0671635022053735,0.0294312775143397,0.1045022840697147,0.0824650303731843,0.0974586722592178,False
body_composition,body_comp_trunk_diff_fat_free_mass,continuous,1304,1374,-0.0109732527645731,0.0104142078639036,0.0305230160782246,0.01100171674304,0.0504350939332385,0.1257860584702607,0.147169688410205,False
body_composition,body_comp_trunk_diff_bone_mass,continuous,1304,1374,-0.0060549738114861,0.005746496251949,-0.0004390753689156,-0.0007691333286468,-0.0001119119040964,0.1477159483772851,0.1711164946548748,False
body_composition,body_comp_trunk_left_bone_mass,continuous,1304,1374,-0.0243402915766059,0.0231002476098195,0.0484287808368774,0.0116105555708243,0.0854985330701976,0.2028021013271095,0.2326259397575668,False
body_composition,body_comp_trunk_bone_mass,continuous,1304,1374,-0.0194074971961545,0.0184187600755351,0.0441175079131714,0.0087506897950624,0.0808098039003957,0.2302241723646476,0.261516778317124,False
body_composition,body_comp_arms_diff_tissue_mass,continuous,1304,1374,-0.0025644411555087,0.0024337927705847,0.0050659103576025,0.0005488666335196,0.0096350095950083,0.2421981330886541,0.2724728997247359,False
body_composition,body_comp_trunk_diff_lean_mass,continuous,1304,1374,0.020479028936637,-0.019435701407114,0.0242577946022188,0.0020967185640298,0.0466884585167759,0.2837401109237499,0.3161675521721785,False
body_composition,body_comp_trunk_right_bone_mass,continuous,1304,1374,-0.0198431036423161,0.0188321740535518,0.0013506092906423,9.7093499129286e-06,0.002684031364527,0.3025845028337468,0.3339847814297016,False
