Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Trunk BMD (bone mineral density) (right),Trunk BMD BMD (right),-0.005130222943722943,-0.01016770394736842,-0.0015812500000000063,-0.28576681625936,77,76,0.21675661485121234,0.3429663862664796
Legs combined bone area,Legs combined bone area,1.0480426587301581,0.8164081740976651,-2.3418333333333408,-0.01874837358390467,168,157,0.22122227405515704,0.3429663862664796
Spine BMD (bone mineral density),Spine BMD BMD,-0.003818767857142855,-0.0077856109341825925,-0.0008709999999999742,-0.16772955522304045,168,157,0.2225632932154814,0.3429663862664796
Femur shaft BMD (bone mineral density) (left),Femur shaft BMD BMD (left),-0.008997698989898996,-0.012229372863247866,-0.0020149999999999335,-0.12638859221789733,165,156,0.2385613627272084,0.3616898080057676
Android lean mass,Android lean mass,23.73308270676692,14.075203252032521,-9.333333333333332,-0.10672428540465799,133,123,0.2509718530052576,0.37446593940467005
Spine bone area,Spine bone area,-0.6560868055555554,-1.4045859872611468,-0.35608333333333536,-0.11414392113400984,168,157,0.27736913393075635,0.4073859154607984
Arm BMD (bone mineral density) (left),Arm BMD BMD (left),-0.01739015151515151,-0.01868915789473684,-0.004718,-0.03812090644491283,77,76,0.290787417304608,0.4205233419482023
Femur troch BMD (bone mineral density) (left),Femur troch BMD BMD (left),-0.009245925648702592,-0.011777912420382172,-0.0026089999999999915,-0.11452757445207543,167,157,0.3119837620754021,0.4433023314531302
Leg bone area (left),Leg bone area (left),1.6139740259740276,1.5305701754385934,-1.1582500000000095,-0.010465425688228426,77,76,0.3182739060241029,0.4433023314531302
Legs BMD (bone mineral density),Legs BMD BMD,-0.008653596230158732,-0.011930057324840768,-0.001681999999999944,-0.16170791924116487,168,157,0.32363522131447675,0.4433023314531302
Total BMD (bone mineral density) (right),Total BMD BMD (right),-0.012132666666666656,-0.01802727192982455,7.133333333329481e-05,-0.305131116445252,77,76,0.3254027752155956,0.4433023314531302
Leg BMD (bone mineral density) (left),Leg BMD BMD (left),-0.011069393939393947,-0.018353528508771918,0.0008150000000000102,-0.28544420493520045,77,76,0.33081777936770984,0.44424101800806753
Total BMD (bone mineral density) (left),Total BMD BMD (left),-0.010147365800865801,-0.013247969298245604,-0.00046999999999997044,-0.1530416962225257,77,76,0.3568512858436548,0.46355496594648754
Trunk lean mass,Trunk lean mass,91.9235588972431,24.72357723577235,26.0,-0.15368786605002024,133,123,0.3585050322358132,0.46355496594648754
L1-L4 BMD (bone mineral density),L1-L4 BMD BMD,-0.009624445945945944,-0.012432157342657351,-0.002178499999999981,-0.09923248861039935,148,143,0.36211881047986383,0.46355496594648754
Android bone mass,Android bone mass,-0.2587719298245614,-0.10298102981029808,0.3333333333333333,0.08455699162840967,133,123,0.3649262497876604,0.46355496594648754
L1-L4 BMC (bone mineral content),L1-L4 BMC BMC,-0.6772290540540539,-0.8264138111888109,-0.12289999999999779,-0.060617863710031535,148,143,0.36987714455755183,0.4635793545121316
L1-L4 BMD (bone mineral density) T-score,L1-L4 BMD BMD T-score,-0.08020407885135135,-0.10321372178321679,-0.01814583333333332,-0.09751534881489128,148,143,0.3826552410035562,0.47328411387281955
Arm BMC (bone mineral content) (right),Arm BMC BMC (right),-1.7606770562770557,0.1447304824561409,0.2182499999999905,0.23230968038184416,77,76,0.4043910794612534,0.49367222687477685
Arm total mass (right),Arm total mass (right),23.709004329004326,36.613114035087726,-46.38499999999988,0.04584335900515381,77,76,0.4915515182513305,0.59238259891827
Arm total mass (left),Arm total mass (left),6.661255411255397,3.4687938596491468,-30.692499999999654,-0.014756430917856127,77,76,0.517176530313082,0.611641771882376
Head BMC (bone mineral content),Head BMC BMC,-4.636569444444444,-4.542156050955415,0.20816666666668882,0.013315711518940343,168,157,0.5246752870011506,0.611641771882376
Femur troch BMD (bone mineral density) T-score (left),Femur troch BMD BMD T-score (left),-0.07357014469061876,-0.09182455356687898,0.006645666666666689,-0.08690539032809064,167,157,0.5270530161965155,0.611641771882376
Arm bone area (right),Arm bone area (right),1.9774653679653689,4.381010964912282,-0.51800000000001,0.23269369455112182,77,76,0.5362378523120788,0.6147116843577488
DXA measurement completed,DXA measurement completed,-0.047979797979797977,-0.05714285714285714,0.0,-0.0417653414663065,330,350,0.5742122061523665,0.6503126190159331
Pelvis bone area,Pelvis bone area,0.6631845238095238,0.05166666666666683,0.40758333333333496,-0.09757799591632593,168,157,0.6003291466427526,0.6717969021954613
Arms BMC (bone mineral content),Arms BMC BMC,-3.547511408730158,-2.3124925690021207,0.5751250000000119,0.11701005122686788,168,157,0.6471163770960483,0.7156345817297475
Leg BMD (bone mineral density) (right),Leg BMD BMD (right),-0.012163816017316021,-0.015945484649122807,0.0006965000000000166,-0.16289507669294934,77,76,0.6707545560747774,0.7275995174203918
Arm BMC (bone mineral content) (left),Arm BMC BMC (left),-2.071688744588744,-0.9012054824561404,-0.1631666666666618,0.17401023207628766,77,76,0.6734165746337668,0.7275995174203918
Arm lean mass (right),Arm lean mass (right),19.743055555555557,39.38809523809524,-23.0,0.14003807659675171,72,70,0.6937513206441192,0.7410525470516727
Leg BMC (bone mineral content) (right),Leg BMC BMC (right),-2.869482683982682,-3.654278508771926,-0.46708333333333485,-0.13953904562327984,77,76,0.708384859461868,0.7481817616788269
L1-L4 area,L1-L4 area,-0.13990191441441438,-0.12377365967365968,-0.03501666666666618,0.014033438739955308,148,143,0.7427874968676151,0.7758002745061757
Leg bone area (right),Leg bone area (right),1.2880281385281407,1.9202149122807015,-0.3804999999999694,0.08569700416249089,77,76,0.7536597836561241,0.7785057105898424
Arms lean mass,Arms lean mass,-2.5827067669172923,4.842140921409212,-18.666666666666668,0.035624997003081166,133,123,0.7836719963996339,0.8007083441474521
Arm BMD (bone mineral density) (right),Arm BMD BMD (right),-0.020938322510822515,-0.019691175438596494,0.00022800000000001638,0.04129694210453735,77,76,0.9665274686150064,0.9769202370947376
Arm lean mass (left),Arm lean mass (left),12.495370370370372,24.326190476190476,-20.25,0.11017375405319418,72,70,0.9837222091698961,0.9837222091698961
