system,feature,effect_size_cohens_d,ci_low,ci_high,p_value,q_value_fdr,higher_in,significant_q05,analysis_type
body_composition,body_comp_trunk_left_tissue_mass,0.0932,0.0505,0.137,0.0349094610244766,0.0530442459722566,B (lean),False,continuous
body_composition,body_comp_arm_right_tissue_mass,0.0908,0.0483,0.1336,0.0373773490861066,0.05606602362916,B (lean),False,continuous
body_composition,body_comp_trunk_total_mass,0.0888,0.046,0.1333,0.0400048570321517,0.059247699655212,B (lean),False,continuous
body_composition,body_comp_trunk_tissue_mass,0.0856,0.043,0.1291,0.0489133938487993,0.071535838503869,B (lean),False,continuous
body_composition,body_comp_trunk_right_total_mass,0.0849,0.0412,0.1285,0.0653600027918085,0.0944088929215012,B (lean),False,continuous
body_composition,body_comp_trunk_right_tissue_mass,0.0791,0.0353,0.1224,0.076104256817079,0.1085877810682713,B (lean),False,continuous
body_composition,body_comp_arms_total_mass,0.08,0.0321,0.1181,0.0820365555654327,0.1156418915801882,B (lean),False,continuous
body_composition,total_scan_vat_volume,-0.0638,-0.1008,-0.0264,0.0931445689855228,0.1297370782298353,A (adipose),False,continuous
body_composition,total_scan_vat_area,-0.0637,-0.1003,-0.0243,0.0969930076155157,0.1335080222472393,A (adipose),False,continuous
body_composition,body_comp_arms_tissue_mass,0.0689,0.0262,0.1123,0.1152082974110155,0.1567368697335909,B (lean),False,continuous
body_composition,body_comp_trunk_diff_tissue_mass,0.0435,0.015,0.0727,0.1368805693059178,0.1840807656183033,B (lean),False,continuous
body_composition,body_comp_trunk_diff_total_mass,0.0481,0.0084,0.0895,0.1481882495431445,0.1970230135971353,B (lean),False,continuous
body_composition,body_comp_legs_diff_tissue_mass,-0.015,-0.0258,-0.0045,0.1609159780032619,0.2115412295099062,A (adipose),False,continuous
body_composition,body_comp_total_diff_bone_mass,-0.0026,-0.0046,-0.0006,0.2000003644113728,0.2600004737347846,A (adipose),False,continuous
body_composition,body_comp_legs_diff_fat_free_mass,0.0083,0.0019,0.0148,0.2080186065950225,0.2674524941936004,B (lean),False,continuous
body_composition,body_comp_arms_diff_tissue_mass,0.0065,0.0011,0.0116,0.2136882211858343,0.2717556725950284,B (lean),False,continuous
body_composition,body_comp_arm_left_total_mass,0.0455,0.0,0.095,0.2223970836913181,0.2779299821466217,B (lean),False,continuous
body_composition,height,0.0,-0.1608,0.0,0.2232941736904482,0.2779299821466217,A (adipose),False,continuous
body_composition,waist,0.0353,0.0,0.1178,0.2543681631943763,0.3132744746709687,B (lean),False,continuous
body_composition,body_comp_legs_diff_lean_mass,0.007,0.0007,0.0135,0.2781516487779901,0.3389973219481755,B (lean),False,continuous
body_composition,body_comp_total_diff_tissue_mass,-0.0318,-0.0608,-0.0032,0.2816112632275821,0.3396754412126506,A (adipose),False,continuous
body_composition,body_comp_total_diff_total_mass,-0.029,-0.0631,0.0,0.2937017470615081,0.3475152132832514,A (adipose),False,continuous
body_composition,body_comp_total_diff_fat_mass,-0.0138,-0.0269,-0.0009,0.2940513343165973,0.3475152132832514,A (adipose),False,continuous
body_composition,body_comp_arm_left_tissue_mass,0.0428,0.0002,0.0856,0.3242581662062559,0.3793820544613194,B (lean),False,continuous
body_composition,body_comp_total_diff_lean_mass,0.0177,-0.0033,0.0393,0.4077509081213503,0.4723451113880988,B (lean),False,continuous
body_composition,body_comp_arms_diff_total_mass,0.0,0.0,0.0059,0.4433987538357873,0.4988235980652607,A (adipose),False,continuous
body_composition,body_comp_arms_diff_bone_mass,0.0005,0.0,0.0036,0.4372454008464023,0.4988235980652607,B (lean),False,continuous
body_composition,body_comp_legs_diff_total_mass,-0.0046,-0.0252,0.0,0.44321661281206,0.4988235980652607,A (adipose),False,continuous
body_composition,body_comp_arms_diff_fat_mass,0.0012,-0.0006,0.0031,0.522304351048295,0.5819962768823859,B (lean),False,continuous
body_composition,body_comp_legs_diff_bone_mass,-0.0002,-0.0006,0.0001,0.5743175351498471,0.6339165246465294,A (adipose),False,continuous
body_composition,body_comp_total_right_tissue_mass,-0.0214,-0.0644,0.0213,0.6251997888608547,0.6836296756702804,A (adipose),False,continuous
body_composition,body_comp_total_tissue_mass,-0.0146,-0.0581,0.0282,0.7411438312200891,0.8029058171550965,A (adipose),False,continuous
body_composition,body_comp_total_diff_fat_free_mass,0.008,-0.0159,0.0324,0.7486832184929413,0.8036324455382947,B (lean),False,continuous
body_composition,body_comp_total_right_total_mass,-0.0136,-0.0563,0.0283,0.7605302142224013,0.8089275914910996,A (adipose),False,continuous
body_composition,weight,-0.0122,-0.0487,0.0365,0.8354564701194046,0.8806162793150482,A (adipose),False,continuous
body_composition,body_comp_total_left_tissue_mass,-0.0077,-0.051,0.0361,0.8590803818403598,0.8908329719750195,A (adipose),False,continuous
body_composition,body_comp_trunk_diff_bone_mass,-0.0,-0.0004,0.0003,0.8603771438733094,0.8908329719750195,A (adipose),False,continuous
body_composition,body_comp_total_total_mass,-0.0064,-0.0491,0.0368,0.8847652754319951,0.9080485721538898,A (adipose),False,continuous
body_composition,body_comp_android_total_mass,0.0,-0.0455,0.036,0.903664312625954,0.919380213715101,A (adipose),False,continuous
body_composition,body_comp_android_tissue_mass,-0.0043,-0.0473,0.0384,0.921525766994034,0.9294699546405344,A (adipose),False,continuous
body_composition,body_comp_total_left_total_mass,0.0,-0.0434,0.045,0.9900904254634963,0.9900904254634963,A (adipose),False,continuous
bone_density,body_pelvis_bmc,0.3855,0.3402,0.4308,1.5674876904503618e-16,2.8528275966196585e-14,B (lean),True,continuous
bone_density,body_pelvis_area,0.3849,0.3391,0.4292,6.749230698740151e-16,6.141799935853538e-14,B (lean),True,continuous
bone_density,femur_left_troch_bmc,0.3634,0.3186,0.4089,3.292992367466751e-15,1.4983115271973717e-13,B (lean),True,continuous
bone_density,femur_troch_mean_bmc,0.3612,0.3168,0.4056,2.8668560323749728e-15,1.4983115271973717e-13,B (lean),True,continuous
bone_density,femur_right_troch_bmc,0.3332,0.2901,0.3767,4.6912501529287534e-14,1.7076150556660666e-12,B (lean),True,continuous
bone_density,femur_left_troch_bmd,0.3339,0.2884,0.3794,6.201032809207582e-13,1.8809799521263e-11,B (lean),True,continuous
bone_density,femur_left_total_bmc,0.3324,0.2873,0.3775,1.2292991300442697e-12,3.196177738115101e-11,B (lean),True,continuous
bone_density,femur_troch_mean_bmd,0.329,0.284,0.3755,1.413742499336624e-12,3.21626418599082e-11,B (lean),True,continuous
bone_density,femur_total_mean_bmc,0.3267,0.2819,0.3713,2.2570978394511697e-12,4.564353408667921e-11,B (lean),True,continuous
bone_density,femur_right_troch_bmd,0.323,0.2778,0.3686,5.695644524725266e-12,1.0366073034999983e-10,B (lean),True,continuous
bone_density,femur_right_total_bmc,0.3167,0.2719,0.361,8.464150780757113e-12,1.4004322200889038e-10,B (lean),True,continuous
bone_density,spine_l1_l4_average_width,0.2948,0.2476,0.342,5.984272065933947e-10,9.076145966666487e-09,B (lean),True,continuous
bone_density,spine_l1_average_width,0.2832,0.2366,0.3287,1.6883898450099996e-09,2.194906798513e-08,B (lean),True,continuous
bone_density,spine_l2_l4_average_width,0.2886,0.2401,0.3315,1.625808880336781e-09,2.194906798513e-08,B (lean),True,continuous
bone_density,femur_left_shaft_bmc,0.2817,0.2353,0.3279,2.767655441571462e-09,3.282244143952573e-08,B (lean),True,continuous
bone_density,spine_l1_l3_average_width,0.2881,0.2407,0.3359,2.8854893573209437e-09,3.282244143952573e-08,B (lean),True,continuous
bone_density,spine_l3_l4_average_width,0.2805,0.2333,0.3275,3.1384986565360407e-09,3.360039738173879e-08,B (lean),True,continuous
bone_density,femur_shaft_mean_bmc,0.2798,0.2338,0.3251,4.110259738733457e-09,4.1559292913860514e-08,B (lean),True,continuous
bone_density,spine_l1_l2_average_width,0.2788,0.2319,0.3255,4.572871990160602e-09,4.3803300116275245e-08,B (lean),True,continuous
bone_density,femur_right_shaft_bmc,0.2712,0.2248,0.3176,9.713044288744578e-09,8.838870302757568e-08,B (lean),True,continuous
bone_density,spine_l4_average_width,0.2658,0.2199,0.3102,1.084793779081903e-08,9.401546085376493e-08,B (lean),True,continuous
bone_density,spine_l2_l3_average_width,0.2742,0.2264,0.3201,1.3921188130873514e-08,1.1516619271904453e-07,B (lean),True,continuous
bone_density,spine_l3_average_width,0.266,0.22,0.3138,1.7553640448477046e-08,1.389027200705575e-07,B (lean),True,continuous
bone_density,body_total_left_area,0.2592,0.2134,0.3054,4.2330318308126053e-08,3.210049138366225e-07,B (lean),True,continuous
bone_density,body_total_area,0.2622,0.2158,0.3085,4.4600838804616434e-08,3.246941064976076e-07,B (lean),True,continuous
