Event,Arm,Seed,C-Index
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,342,0.712759627681765
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,442,0.7288264867652114
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,542,0.7827386394002898
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,642,0.7358031250227427
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,742,0.7634483841946678
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,842,0.7919095302147163
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,Covariates,942,0.8123724546795168
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,42,0.8045493739622454
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,142,0.7482658979564968
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,242,0.8126006187616368
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,342,0.7700777600722204
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,442,0.7327045376418013
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,542,0.766740270882266
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,642,0.8325558377666349
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,742,0.8047467405429335
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,842,0.8459337703097978
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA Tabular + Covariates,942,0.798325711647029
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,42,0.8145189450355241
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,142,0.7274358849983715
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,242,0.8119076617249731
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,342,0.7455665816343977
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,442,0.7675676062793629
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,542,0.7776683872238084
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,642,0.7936859111981195
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,742,0.7858754480414697
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,842,0.8221633893431831
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (LeJEPA) + Covariates,942,0.8427822382434869
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,42,0.7787881163282904
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,142,0.7112486227661093
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,242,0.8339142973135666
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,342,0.7301513483199857
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,442,0.7373954394408159
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,542,0.7904178562889411
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,642,0.7684542999992723
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,742,0.8114370171505276
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,842,0.8169111315128353
Date M81 first reported (osteoporosis without pathological fracture) - visit 0,DXA SSL (DINO) + Covariates,942,0.8288397658379635
Date K76 first reported (other diseases of liver) - visit 0,Covariates,42,0.6896789726254463
Date K76 first reported (other diseases of liver) - visit 0,Covariates,142,0.6996883249406597
Date K76 first reported (other diseases of liver) - visit 0,Covariates,242,0.6907790185906448
Date K76 first reported (other diseases of liver) - visit 0,Covariates,342,0.6202976164347482
Date K76 first reported (other diseases of liver) - visit 0,Covariates,442,0.6141198848676871
Date K76 first reported (other diseases of liver) - visit 0,Covariates,542,0.7345673518204322
Date K76 first reported (other diseases of liver) - visit 0,Covariates,642,0.665351231814604
Date K76 first reported (other diseases of liver) - visit 0,Covariates,742,0.6375549455083594
Date K76 first reported (other diseases of liver) - visit 0,Covariates,842,0.6687506047541741
Date K76 first reported (other diseases of liver) - visit 0,Covariates,942,0.6882768181528459
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,42,0.6903746134573893
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,142,0.698196499478693
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,242,0.6903803782773351
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,342,0.619968394714894
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,442,0.6144294703021108
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,542,0.73427530386894
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,642,0.6683337170762006
Date K76 first reported (other diseases of liver) - visit 0,DXA Tabular + Covariates,742,0.638726749591519
