disease,model,seed,auc,pr
dis__copd,covariates,17,0.6451935547258794,0.04902472161388062
dis__copd,lejepa_cov,17,0.7418824916486538,0.10273901833161318
dis__copd,dino_cov,17,0.7291943407349184,0.10730840791867392
dis__copd,tab_cov,17,0.7168146983690313,0.05574312830019311
dis__copd,covariates,31,0.7188710945175869,0.053426303608521644
dis__copd,lejepa_cov,31,0.7988072312831598,0.10706421268454436
dis__copd,dino_cov,31,0.7777952446453134,0.11095720874110641
dis__copd,tab_cov,31,0.7753880919630576,0.07354658576968627
dis__copd,covariates,137,0.6209176655531539,0.03375402172677604
dis__copd,lejepa_cov,137,0.7495048143053645,0.11557252909732894
dis__copd,dino_cov,137,0.7671919827078011,0.10457817402948737
dis__copd,tab_cov,137,0.7074572607584987,0.06966466650554104
dis__copd,covariates,256,0.6668176459029279,0.04140729078418814
dis__copd,lejepa_cov,256,0.7770956966005108,0.11251437549371987
dis__copd,dino_cov,256,0.7866673216741992,0.12974695686298118
dis__copd,tab_cov,256,0.7249184515621929,0.08485373417585038
dis__depression,covariates,42,0.6115692926969523,0.16042568545073327
dis__depression,lejepa_cov,42,0.6325562583860457,0.17003761392240396
dis__depression,dino_cov,42,0.6309649223691777,0.16587512677532212
dis__depression,tab_cov,42,0.6122909718228868,0.162110452900812
dis__depression,covariates,73,0.5964786275637339,0.15555418547304845
dis__depression,lejepa_cov,73,0.618092390262603,0.17243702555751095
dis__depression,dino_cov,73,0.6078378378378378,0.15224452642417596
dis__depression,tab_cov,73,0.6168882499520797,0.16195002165154793
dis__depression,covariates,99,0.6226400230017252,0.176792144675321
dis__depression,lejepa_cov,99,0.6264880199348285,0.181331876576595
dis__depression,dino_cov,99,0.6301100249185355,0.17233016054562267
dis__depression,tab_cov,99,0.6270423615104466,0.17660694880858932
dis__depression,covariates,123,0.5951633122484186,0.15677743949181167
dis__depression,lejepa_cov,123,0.6126666666666667,0.16293422356518938
dis__depression,dino_cov,123,0.6176645581751965,0.15880334526021772
dis__depression,tab_cov,123,0.6123358251868891,0.16451721879707212
dis__depression,covariates,2024,0.6022443933294996,0.15133679603231076
dis__depression,lejepa_cov,2024,0.6108058271036994,0.1595423875501959
dis__depression,dino_cov,2024,0.6151159670308607,0.1581202497717829
dis__depression,tab_cov,2024,0.602260686218133,0.15358559519031503
dis__depression,covariates,7,0.6228642898217366,0.17005490038829796
dis__depression,lejepa_cov,7,0.6299904159478628,0.16908968204225036
dis__depression,dino_cov,7,0.626016484569676,0.17257585153553628
dis__depression,tab_cov,7,0.6326781675292313,0.17170010331540855
dis__depression,covariates,17,0.6176478819244777,0.17948669665829506
dis__depression,lejepa_cov,17,0.6254169062679702,0.17238923457262048
dis__depression,dino_cov,17,0.6286605328732989,0.1652608291490131
dis__depression,tab_cov,17,0.6213080314356909,0.1793181757765282
dis__depression,covariates,31,0.5994069388537473,0.15759446390474316
dis__depression,lejepa_cov,31,0.6138562392179414,0.16910058481716495
dis__depression,dino_cov,31,0.6246536323557601,0.1696584534232266
dis__depression,tab_cov,31,0.6068334291738547,0.16426448128112317
