disease,model,seed,auc,pr
dis__depression,covariates,137,0.6246068621813303,0.16625891191049236
dis__depression,lejepa_cov,137,0.6359367452558942,0.17411769573855698
dis__depression,dino_cov,137,0.629381636956105,0.16901224664367423
dis__depression,tab_cov,137,0.6318938087023194,0.1683291743104568
dis__depression,covariates,256,0.6157048111941729,0.16138502180216646
dis__depression,lejepa_cov,256,0.6147559900325859,0.15702654497754556
dis__depression,dino_cov,256,0.6255399654974122,0.16449093321496666
dis__depression,tab_cov,256,0.620674717270462,0.16611760744957887
dis__diabetes,covariates,42,0.7253683998344986,0.10018049747751528
dis__diabetes,lejepa_cov,42,0.8481126470681845,0.30854982448293883
dis__diabetes,dino_cov,42,0.8375469009148551,0.29546821450442123
dis__diabetes,tab_cov,42,0.8342076972313872,0.2718251436038474
dis__diabetes,covariates,73,0.7274742995363838,0.11875657475311455
dis__diabetes,lejepa_cov,73,0.8519283746556474,0.2839920522381615
dis__diabetes,dino_cov,73,0.8386767664979824,0.2648156952389733
dis__diabetes,tab_cov,73,0.8323661401033322,0.2645452601200685
dis__diabetes,covariates,99,0.7259346587593758,0.1306755059339136
dis__diabetes,lejepa_cov,99,0.83798452490832,0.26955158537019125
dis__diabetes,dino_cov,99,0.8383620308582381,0.25548432988544284
dis__diabetes,tab_cov,99,0.8283585652298454,0.25970792232664547
dis__diabetes,covariates,123,0.7345837002302167,0.11547725959532484
dis__diabetes,lejepa_cov,123,0.8288006096676886,0.26808206112356603
dis__diabetes,dino_cov,123,0.8208464620531373,0.2569945206352362
dis__diabetes,tab_cov,123,0.8252377314986721,0.267179393479421
dis__diabetes,covariates,2024,0.7109758749827603,0.10307118966925696
dis__diabetes,lejepa_cov,2024,0.8327436460532502,0.27803451667931656
dis__diabetes,dino_cov,2024,0.8334040604433882,0.2653628798974446
dis__diabetes,tab_cov,2024,0.828162297499443,0.24314133501027999
dis__diabetes,covariates,7,0.7202283071112573,0.11310433030061198
dis__diabetes,lejepa_cov,7,0.8296466827217206,0.23927493695848875
dis__diabetes,dino_cov,7,0.8233590426378383,0.22758423892226654
dis__diabetes,tab_cov,7,0.8218658165268037,0.20878602978386904
dis__diabetes,covariates,17,0.705810585726562,0.09973322882649788
dis__diabetes,lejepa_cov,17,0.8276115101298903,0.2572024673839231
dis__diabetes,dino_cov,17,0.8349627091312236,0.26206611731410057
dis__diabetes,tab_cov,17,0.8226411624707808,0.27377603010570384
dis__diabetes,covariates,31,0.7328265735897899,0.1360162942469312
dis__diabetes,lejepa_cov,31,0.8454957439961526,0.2840935366245289
dis__diabetes,dino_cov,31,0.8442155833041585,0.2601386611242094
dis__diabetes,tab_cov,31,0.8380048589524608,0.2555941072713039
dis__diabetes,covariates,137,0.7285581924979754,0.12389164002438957
dis__diabetes,lejepa_cov,137,0.8443296307691219,0.24295577386055817
dis__diabetes,dino_cov,137,0.8419072272497409,0.2590455793566494
dis__diabetes,tab_cov,137,0.8468899521531101,0.2555313731894265
dis__diabetes,covariates,256,0.7437981165370593,0.12462888220476998
dis__diabetes,lejepa_cov,256,0.8523766077156204,0.26500179794317286
dis__diabetes,dino_cov,256,0.8415394462774554,0.24746490036666255
dis__diabetes,tab_cov,256,0.822409531185351,0.2622065422584532
dis__endometriosis,covariates,42,0.781440981001228,0.054161015636935594
dis__endometriosis,lejepa_cov,42,0.7956422018348625,0.05829943697135524
dis__endometriosis,dino_cov,42,0.7758813118543668,0.05205060801344829
dis__endometriosis,tab_cov,42,0.7944863830094632,0.058487477017628256
dis__endometriosis,covariates,73,0.7960476414072094,0.05758350361374152
dis__endometriosis,lejepa_cov,73,0.8056779599797732,0.07242541010812248
dis__endometriosis,dino_cov,73,0.788026439355631,0.057363485564472676
dis__endometriosis,tab_cov,73,0.8073575092104314,0.06056525226514631
dis__endometriosis,covariates,99,0.7759336848948928,0.04937164068503176
dis__endometriosis,lejepa_cov,99,0.7918045221411545,0.054861575385073254
dis__endometriosis,dino_cov,99,0.7798923643718848,0.050681486378037086
dis__endometriosis,tab_cov,99,0.8005562378097233,0.06483371818259452
dis__endometriosis,covariates,123,0.7931969226323774,0.05378970376429065
dis__endometriosis,lejepa_cov,123,0.8079462544246189,0.0664794164743975
dis__endometriosis,dino_cov,123,0.7905295094993859,0.06776182618829227
dis__endometriosis,tab_cov,123,0.8053781694719353,0.06472060479014873
dis__endometriosis,covariates,2024,0.7922659466878567,0.05265528825189127
dis__endometriosis,lejepa_cov,2024,0.8069981217944088,0.059122290022505054
dis__endometriosis,dino_cov,2024,0.7768745936574443,0.04779316168874449
dis__endometriosis,tab_cov,2024,0.8060843025355775,0.05672607785985379
dis__endometriosis,covariates,7,0.8037347395795709,0.057442897995376954
dis__endometriosis,lejepa_cov,7,0.7972711839919092,0.056527443532892796
dis__endometriosis,dino_cov,7,0.7780791735895398,0.05772298701506035
dis__endometriosis,tab_cov,7,0.7978581232391821,0.06436305260123187
dis__endometriosis,covariates,17,0.7805894676009535,0.05145712535780654
dis__endometriosis,lejepa_cov,17,0.7944827710756339,0.062097300884420295
dis__endometriosis,dino_cov,17,0.7681337137903633,0.06226883826763193
dis__endometriosis,tab_cov,17,0.8014303257964315,0.0649470808816751
dis__endometriosis,covariates,31,0.7890332659105685,0.05811736913804047
dis__endometriosis,lejepa_cov,31,0.8145615112331144,0.07092409908144935
dis__endometriosis,dino_cov,31,0.7931662211948276,0.06359421942247825
dis__endometriosis,tab_cov,31,0.792174745358665,0.060496596239462096
dis__endometriosis,covariates,137,0.8062495485082714,0.058620760155533115
