Phenotype,Label,Mean_Q1,Mean_Q4,Median_Diff,Cohens_d,N_Q1,N_Q4,P_Value,Adjusted_P_Value
Femur wards BMD (bone mineral density) T-score (right),Femur wards BMD BMD T-score (right),0.006956809843749998,-0.04195587598870057,-0.00506233333333336,-0.2069969518314163,128,118,0.3368500645593251,0.48680778570936645
Femur shaft BMD (bone mineral density) (left),Femur shaft BMD BMD (left),-0.003306857314148672,-0.009069036175710598,-0.0019900000000000473,-0.223952229779534,139,129,0.3383569859810358,0.48680778570936645
Android bone mass,Android bone mass,-0.13939393939393938,0.2802197802197802,0.125,0.14754915726778378,110,91,0.34180121124274665,0.48680778570936645
Arm lean mass (left),Arm lean mass (left),-16.826388888888886,-33.36524822695035,-39.75,-0.11450383481716339,48,47,0.34828964600675716,0.48864517499455484
Arm BMC (bone mineral content) (right),Arm BMC BMC (right),-1.8895628930817585,-1.6272565359477125,0.6970000000000027,0.04117971668131374,53,51,0.36954301870329664,0.5108388787957335
Trunk BMD (bone mineral density) (left),Trunk BMD BMD (left),-0.0006190094339622582,-0.004671813725490196,-0.0024920000000000497,-0.1875490382416628,53,51,0.3765208445830931,0.5129414404465327
Total BMD (bone mineral density),Total BMD BMD,-0.004931930455635498,-0.006706660206718341,-0.0017399999999999265,-0.12910104305958872,139,129,0.38479877149097674,0.5167297788593117
Arm bone area (right),Arm bone area (right),0.6182798742138372,2.718462418300652,1.5884999999999962,0.22046262666870928,53,51,0.42760802880927096,0.5618050093035853
Head BMD (bone mineral density),Head BMD BMD,-0.004474148681055154,-0.0020789211886304915,-9.999999999843467e-06,0.06262805809812726,139,129,0.4303187305304058,0.5618050093035853
Legs BMD (bone mineral density),Legs BMD BMD,-0.0030121942446043166,-0.003298229974160205,0.0038616666666665784,-0.014023581409587454,139,129,0.44006414452517595,0.5666579395255691
